nom_kp,firstname,lastname,date_of_birth,email,id,alamat_rumah,poskod,bandar,daerah,nama_sekolah,poskod_sekolah,bandar_sekolah,alamat_sekolah,email_sekolah
980627-44-3196,Christopher,Thomas,27-06-98,cthomas@gmail.com,64,"No. 149, Lorong Kulim Aman 17, Taman Kulim Aman",09010,Lunas,Kulim,SMK Keladi,09000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my
991017-88-4187,Walter,White,17-10-99,wwhite@gmail.com,65,"No. 98, Lorong Anggerik 1, Taman Anggerik",09010,Lunas,Kulim,SMK Mahang,09700,Karangan,"Kampung Mahang, 09080 Mahang, Kedah",information@smk_mahang.edu.my
830101-77-3202,Robert,Lowery,01-01-83,rlowery@gmail.com,66,"No. 84, Lorong Kulim Heights 8, Taman Kulim Heights",09000,Kulim,Kulim,SMK Taman Selasih,09000,Kulim,"Taman Selasih, 09000 Kulim, Kedah",information@smk_taman_selasih.edu.my
851026-33-3204,Robin,Johnson,26-10-85,rjohnson@gmail.com,67,"No. 67, Lorong Kulim Damai 17, Taman Kulim Damai",09000,Kulim,Kulim,SMK Keladi,09000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my
950701-88-4193,Christine,Sanders,01-07-95,csanders@gmail.com,68,"No. 52, Lorong Mawar 11, Taman Mawar",09000,Kulim,Kulim,SMK Sungai Kob,09700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my
950406-33-4197,Christopher,Pierce,06-04-95,cpierce@gmail.com,69,"No. 133, Lorong Kulim Ria 8, Taman Kulim Ria",09010,Lunas,Kulim,SMK Labu Besar,09010,Kulim,"Kampung Labu Besar, 09000 Kulim, Kedah",information@smk_labu_besar.edu.my
820929-77-4199,Amber,Robertson,29-09-82,arobertson@gmail.com,70,"No. 10, Lorong Selasih 11, Taman Selasih",09080,Padang Serai,Kulim,SMK Sungai Kob,09700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my
811018-99-3208,Abigail,Goodman,18-10-81,agoodman@gmail.com,71,"No. 128, Lorong Kulim Makmur 1, Taman Kulim Makmur",09000,Kulim,Kulim,SMK Taman Selasih,09000,Kulim,"Taman Selasih, 09000 Kulim, Kedah",information@smk_taman_selasih.edu.my
880121-66-3212,Ronald,Skinner,21-01-88,rskinner@gmail.com,72,"No. 11, Lorong Kulim Damai 3, Taman Kulim Damai",09000,Kulim,Kulim,SMK Labu Besar,09010,Kulim,"Kampung Labu Besar, 09000 Kulim, Kedah",information@smk_labu_besar.edu.my
890731-33-3214,Sarah,Alexander,31-07-89,salexander@gmail.com,73,"No. 107, Lorong Putra 5, Taman Putra",09010,Lunas,Kulim,SMK Keladi,09000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my
851014-33-3216,Jason,Morris,14-10-85,jmorris@gmail.com,74,"No. 103, Lorong Kulim Jaya 6, Taman Kulim Jaya",09050,Sungai Kob,Kulim,SMK St. Anne's Convent,09000,Kulim,"Jalan Tunku Asaad, 09000 Kulim, Kedah",information@smk_st_annes_convent.edu.my
990307-88-3218,Kristie,Mathis,07-03-99,kmathis@gmail.com,75,"No. 88, Lorong Kulim Bestari 13, Taman Kulim Bestari",09050,Sungai Kob,Kulim,SMK Sungai Karangan,09410,Padang Serai,"Kampung Sungai Karangan, 09050 Sungai Karangan, Kedah",information@smk_sungai_karangan.edu.my
871001-66-3226,Mark,Jones,01-10-87,mjones2@gmail.com,76,"No. 100, Lorong Cengal 1, Taman Cengal",09080,Padang Serai,Kulim,SMK Keladi,09000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my
830513-77-3230,Harold,Bradford,13-05-83,hbradford@gmail.com,77,"No. 32, Lorong Mahsuri 20, Taman Mahsuri",09050,Sungai Kob,Kulim,SMK Taman Kenari,09000,Kulim,"Taman Kenari, 09000 Kulim, Kedah",information@smk_taman_kenari.edu.my
840620-77-3238,Brianna,Carter,20-06-84,bcarter@gmail.com,78,"No. 90, Lorong Kemuning 4, Taman Kemuning",09050,Sungai Kob,Kulim,SMK Jalan Paya Besar,09600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my
931226-44-3250,Amber,Rush,26-12-93,arush@gmail.com,79,"No. 44, Lorong Rambai 16, Taman Rambai",09090,Kulim HiTech,Kulim,SMK Keladi,09000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my
991205-44-3254,Bobby,Miller,05-12-99,bmiller@gmail.com,80,"No. 60, Lorong Jati 19, Taman Jati",09010,Lunas,Kulim,SMK Sungai Kob,09700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my
910125-88-4215,Kathleen,Pope,25-01-91,kpope@gmail.com,81,"No. 36, Lorong Bersatu 16, Taman Bersatu",09090,Kulim HiTech,Kulim,SMK Sungai Kob,09700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my
841218-66-3260,Kristen,Rivera,18-12-84,krivera@gmail.com,82,"No. 43, Lorong Sawi 5, Taman Sawi",09080,Padang Serai,Kulim,SMK Taman Jelutong,09000,Kulim,"Taman Jelutong, 09000 Kulim, Kedah",information@smk_taman_jelutong.edu.my
980117-33-4221,Carol,Estrada,17-01-98,cestrada@gmail.com,83,"No. 87, Lorong Kulim Sejahtera 8, Taman Kulim Sejahtera",09080,Padang Serai,Kulim,SMK Sungai Kob,09700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my
911004-33-3266,Sarah,Santos,04-10-91,ssantos@gmail.com,84,"No. 45, Lorong Melati 6, Taman Melati",09090,Kulim HiTech,Kulim,SMK Jalan Paya Besar,09600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my
971220-44-4227,Matthew,Trujillo,20-12-97,mtrujillo@gmail.com,85,"No. 78, Lorong Kulim Sentosa 18, Taman Kulim Sentosa",09050,Sungai Kob,Kulim,SMK Taman Jelutong,09000,Kulim,"Taman Jelutong, 09000 Kulim, Kedah",information@smk_taman_jelutong.edu.my
990426-44-4231,Joshua,Thomas,26-04-99,jthomas@gmail.com,86,"No. 16, Lorong Kulim Perdana 6, Taman Kulim Perdana",09080,Padang Serai,Kulim,SMK Lunas,09600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my
870911-44-3268,Tiffany,Flores,11-09-87,tflores@gmail.com,87,"No. 45, Lorong Seroja 20, Taman Seroja",09050,Sungai Kob,Kulim,SMK Taman Hitech,09000,Kulim,"Persiaran Kulim Hi-Tech 3, 09090 Kulim, Kedah",information@smk_taman_hitech.edu.my
930630-88-4235,Eric,Robertson,30-06-93,erobertson@gmail.com,88,"No. 150, Lorong Teratai 19, Taman Teratai",09080,Padang Serai,Kulim,SMK Air Merah,09000,Kulim,"Jalan Air Merah, 09000 Kulim, Kedah",information@smk_air_merah.edu.my
920215-88-4237,Meghan,Cox,15-02-92,mcox@gmail.com,89,"No. 123, Lorong Melur 5, Taman Melur",09050,Sungai Kob,Kulim,SMK Taman Hitech,09000,Kulim,"Persiaran Kulim Hi-Tech 3, 09090 Kulim, Kedah",information@smk_taman_hitech.edu.my
920721-66-4239,Roger,Hart,21-07-92,rhart@gmail.com,90,"No. 54, Lorong Kulim Makmur 18, Taman Kulim Makmur",09050,Sungai Kob,Kulim,SMK Lunas,09600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my
931207-66-4241,Crystal,Carney,07-12-93,ccarney@gmail.com,91,"No. 63, Lorong Putra 16, Taman Putra",09000,Kulim,Kulim,SMK Taman Mutiara,09700,Karangan,"Taman Mutiara, 09000 Kulim, Kedah",information@smk_taman_mutiara.edu.my
840710-99-3274,Daniel,Allen,10-07-84,dallen@gmail.com,92,"No. 34, Lorong Kucai 9, Taman Kucai",09050,Sungai Kob,Kulim,SMK Keladi,09000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my
881208-77-4249,Natalie,Hall,08-12-88,nhall@gmail.com,93,"No. 36, Lorong Kucai 9, Taman Kucai",09010,Lunas,Kulim,SMK Sungai Kob,09700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my
860324-44-3276,Jessica,Clark,24-03-86,jclark1@gmail.com,94,"No. 62, Lorong Kucai 16, Taman Kucai",09050,Sungai Kob,Kulim,SMK Air Merah,09000,Kulim,"Jalan Air Merah, 09000 Kulim, Kedah",information@smk_air_merah.edu.my
930506-66-4257,Lee,Moore,06-05-93,lmoore@gmail.com,95,"No. 74, Lorong Kulim Jaya 10, Taman Kulim Jaya",09000,Kulim,Kulim,SMK Labu Besar,09010,Kulim,"Kampung Labu Besar, 09000 Kulim, Kedah",information@smk_labu_besar.edu.my
951107-44-4259,Brian,Mann,07-11-95,bmann@gmail.com,96,"No. 134, Lorong Kulim Perdana 10, Taman Kulim Perdana",09010,Lunas,Kulim,SMK Taman Mutiara,09700,Karangan,"Taman Mutiara, 09000 Kulim, Kedah",information@smk_taman_mutiara.edu.my
