,nom_kp,firstname,lastname,email,id,alamat_rumah,poskod,bandar,daerah,nama_sekolah,poskod_sekolah,bandar_sekolah,alamat_sekolah,email_sekolah,nama_pengetua,email_pengetua
10,870625-88-4073,Cynthia,Hall,chall@gmail.com,10,"No. 81, Lorong Bakawali 9, Taman Bakawali",9050,Sungai Kob,Kulim,SMK Air Merah,9000,Kulim,"Jalan Air Merah, 09000 Kulim, Kedah",information@smk_air_merah.edu.my,Ahmad Zulkifli Bin Hassan,ahmad.zulkifli@sekolah.edu.my
11,940828-66-3070,Rachel,Richardson,rrichardson@gmail.com,11,"No. 113, Lorong Kulim Jaya 6, Taman Kulim Jaya",9000,Kulim,Kulim,SMK Lunas,9600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my,Syed Amir Bin Taufik,syed.amir@sekolah.edu.my
12,961106-88-3076,Michael,Brown,mbrown@gmail.com,12,"No. 15, Lorong Selasih 4, Taman Selasih",9050,Sungai Kob,Kulim,SMK Taman Hitech,9000,Kulim,"Persiaran Kulim Hi-Tech 3, 09090 Kulim, Kedah",information@smk_taman_hitech.edu.my,Fatimah Binti Harun,fatimah.harun@sekolah.edu.my
13,960209-33-4083,Michael,Acevedo,macevedo@gmail.com,13,"No. 76, Lorong Selasih 6, Taman Selasih",9090,Kulim HiTech,Kulim,SMK St. Anne's Convent,9000,Kulim,"Jalan Tunku Asaad, 09000 Kulim, Kedah",information@smk_st_annes_convent.edu.my,,
14,830518-77-3078,Kelly,Castillo,kcastillo@gmail.com,14,"No. 147, Lorong Kulim Mesra 12, Taman Kulim Mesra",9010,Lunas,Kulim,SMK Lunas,9600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my,Syed Amir Bin Taufik,syed.amir@sekolah.edu.my
15,930430-33-3080,Jeanne,Green,jgreen@gmail.com,15,"No. 65, Lorong Kulim Sejahtera 16, Taman Kulim Sejahtera",9000,Kulim,Kulim,SMK Jalan Paya Besar,9600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my,Nor Azman Bin Idris,nor.azman@sekolah.edu.my
16,870630-77-4085,Carl,Carter,ccarter@gmail.com,16,"No. 21, Lorong Kulim Bestari 4, Taman Kulim Bestari",9000,Kulim,Kulim,SMK Taman Selasih,9000,Kulim,"Taman Selasih, 09000 Kulim, Kedah",information@smk_taman_selasih.edu.my,Norlina Binti Halim,norlina.halim@sekolah.edu.my
17,890221-88-4091,Jackie,Taylor,jtaylor@gmail.com,17,"No. 125, Lorong Kulim Mesra 13, Taman Kulim Mesra",9010,Lunas,Kulim,SMK Taman Kenari,9000,Kulim,"Taman Kenari, 09000 Kulim, Kedah",information@smk_taman_kenari.edu.my,Laila Binti Yusuf,laila.yusuf@sekolah.edu.my
18,981014-44-3086,Alyssa,Jenkins,ajenkins@gmail.com,18,"No. 49, Lorong Kulim Bahagia 14, Taman Kulim Bahagia",9010,Lunas,Kulim,SMK Taman Hitech,9000,Kulim,"Persiaran Kulim Hi-Tech 3, 09090 Kulim, Kedah",information@smk_taman_hitech.edu.my,Fatimah Binti Harun,fatimah.harun@sekolah.edu.my
19,940103-99-4093,Timothy,Edwards,tedwards@gmail.com,19,"No. 106, Lorong Rambai 3, Taman Rambai",9080,Padang Serai,Kulim,SMK Junjung,9000,Kulim,"Kampung Junjung, 09000 Kulim, Kedah",information@smk_junjung.edu.my,Rahim Bin Saad,rahim.saad@sekolah.edu.my
20,840220-44-3092,Dawn,Collier,dcollier@gmail.com,20,"No. 120, Lorong Kulim Sejahtera 6, Taman Kulim Sejahtera",9050,Sungai Kob,Kulim,SMK Lunas,9600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my,Syed Amir Bin Taufik,syed.amir@sekolah.edu.my
21,841226-88-4095,Alicia,Escobar,aescobar@gmail.com,21,"No. 111, Lorong Kulim Maju 4, Taman Kulim Maju",9090,Kulim HiTech,Kulim,SMK Taman Jelutong,9000,Kulim,"Taman Jelutong, 09000 Kulim, Kedah",information@smk_taman_jelutong.edu.my,Muthusamy A/L Rajan,muthusamy.rajan@sekolah.edu.my
22,950430-99-3106,Alexandra,Bullock,abullock@gmail.com,22,"No. 60, Lorong Kulim Heights 20, Taman Kulim Heights",9050,Sungai Kob,Kulim,SMK Taman Jelutong,9000,Kulim,"Taman Jelutong, 09000 Kulim, Kedah",information@smk_taman_jelutong.edu.my,Muthusamy A/L Rajan,muthusamy.rajan@sekolah.edu.my
23,930329-99-3108,Guy,Gonzales,ggonzales@gmail.com,23,"No. 38, Lorong Bersatu 6, Taman Bersatu",9010,Lunas,Kulim,SMK Padang Serai,9400,Padang Serai,"Jalan Padang Serai, 09080 Padang Serai, Kedah",information@smk_padang_serai.edu.my,Tan Chee Ming,tan.cheeming@sekolah.edu.my
24,880628-88-3114,Megan,Harris,mharris@gmail.com,24,"No. 7, Lorong Cengal 7, Taman Cengal",9010,Lunas,Kulim,SMK Taman Hitech,9000,Kulim,"Persiaran Kulim Hi-Tech 3, 09090 Kulim, Kedah",information@smk_taman_hitech.edu.my,Fatimah Binti Harun,fatimah.harun@sekolah.edu.my
25,991022-99-3116,Amber,Barrett,abarrett@gmail.com,25,"No. 46, Lorong Mawar 20, Taman Mawar",9000,Kulim,Kulim,SMK Taman Kenari,9000,Kulim,"Taman Kenari, 09000 Kulim, Kedah",information@smk_taman_kenari.edu.my,Laila Binti Yusuf,laila.yusuf@sekolah.edu.my
26,930324-33-3118,Beth,Johnson,bjohnson@gmail.com,26,"No. 20, Lorong Kulim Utama 15, Taman Kulim Utama",9000,Kulim,Kulim,SMK Air Merah,9000,Kulim,"Jalan Air Merah, 09000 Kulim, Kedah",information@smk_air_merah.edu.my,Ahmad Zulkifli Bin Hassan,ahmad.zulkifli@sekolah.edu.my
27,940111-77-4101,Kari,Rosario,krosario@gmail.com,27,"No. 136, Lorong Murni 11, Taman Murni",9050,Sungai Kob,Kulim,SMK Taman Selasih,9000,Kulim,"Taman Selasih, 09000 Kulim, Kedah",information@smk_taman_selasih.edu.my,Norlina Binti Halim,norlina.halim@sekolah.edu.my
28,890418-88-4107,Aaron,Howard,ahoward@gmail.com,28,"No. 74, Lorong Cengal 17, Taman Cengal",9050,Sungai Kob,Kulim,SMK Lunas,9600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my,Syed Amir Bin Taufik,syed.amir@sekolah.edu.my
29,920311-66-3122,Morgan,Peterson,mpeterson@gmail.com,29,"No. 43, Lorong Bersatu 20, Taman Bersatu",9080,Padang Serai,Kulim,SMK Taman Selasih,9000,Kulim,"Taman Selasih, 09000 Kulim, Kedah",information@smk_taman_selasih.edu.my,Norlina Binti Halim,norlina.halim@sekolah.edu.my
30,980607-88-3130,Erin,Thomas,ethomas@gmail.com,30,"No. 150, Lorong Teratai 18, Taman Teratai",9000,Kulim,Kulim,SMK Taman Kenari,9000,Kulim,"Taman Kenari, 09000 Kulim, Kedah",information@smk_taman_kenari.edu.my,Laila Binti Yusuf,laila.yusuf@sekolah.edu.my
31,870721-99-3132,Karen,Perez,kperez@gmail.com,31,"No. 89, Lorong Kulim Heights 7, Taman Kulim Heights",9090,Kulim HiTech,Kulim,SMK Sultan Badlishah,9000,Kulim,"Jalan Pondok Labu, 09000 Kulim, Kedah",information@smk_sultan_badlishah.edu.my,Salmah Binti Zainuddin,salmah.zainuddin@sekolah.edu.my
32,900317-66-4113,Stephen,Powell,spowell@gmail.com,32,"No. 26, Lorong Kucai 5, Taman Kucai",9010,Lunas,Kulim,SMK Jalan Paya Besar,9600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my,Nor Azman Bin Idris,nor.azman@sekolah.edu.my
33,960816-44-4115,Anne,Butler,abutler@gmail.com,33,"No. 66, Lorong Jati 9, Taman Jati",9000,Kulim,Kulim,SMK Sungai Karangan,9410,Padang Serai,"Kampung Sungai Karangan, 09050 Sungai Karangan, Kedah",information@smk_sungai_karangan.edu.my,Mohd Faizal Bin Abdullah,mohd.faizal@sekolah.edu.my
34,830106-66-4117,Steven,Stewart,sstewart@gmail.com,34,"No. 129, Lorong Kulim Bestari 5, Taman Kulim Bestari",9090,Kulim HiTech,Kulim,SMK Lunas,9600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my,Syed Amir Bin Taufik,syed.amir@sekolah.edu.my
35,850222-33-4121,Jason,Evans,jevans@gmail.com,35,"No. 60, Lorong Seri Mahkota 13, Taman Seri Mahkota",9000,Kulim,Kulim,SMK Taman Mutiara,9700,Karangan,"Taman Mutiara, 09000 Kulim, Kedah",information@smk_taman_mutiara.edu.my,Fadzli Bin Ramli,fadzli.ramli@sekolah.edu.my
36,941209-77-4123,Robert,Bennett,rbennett@gmail.com,36,"No. 28, Lorong Mahsuri 17, Taman Mahsuri",9090,Kulim HiTech,Kulim,SMK Taman Mutiara,9700,Karangan,"Taman Mutiara, 09000 Kulim, Kedah",information@smk_taman_mutiara.edu.my,Fadzli Bin Ramli,fadzli.ramli@sekolah.edu.my
37,880702-77-4129,Alexis,Phillips,aphillips@gmail.com,37,"No. 27, Lorong Kulim Bahagia 9, Taman Kulim Bahagia",9080,Padang Serai,Kulim,SMK Taman Kenari,9000,Kulim,"Taman Kenari, 09000 Kulim, Kedah",information@smk_taman_kenari.edu.my,Laila Binti Yusuf,laila.yusuf@sekolah.edu.my
38,840126-66-3144,Jennifer,Clark,jclark@gmail.com,38,"No. 101, Lorong Putra 20, Taman Putra",9050,Sungai Kob,Kulim,SMK Lunas,9600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my,Syed Amir Bin Taufik,syed.amir@sekolah.edu.my
39,980407-77-4131,Ashley,Walker,awalker@gmail.com,39,"No. 148, Lorong Seri Mahkota 17, Taman Seri Mahkota",9080,Padang Serai,Kulim,SMK Padang Serai,9400,Padang Serai,"Jalan Padang Serai, 09080 Padang Serai, Kedah",information@smk_padang_serai.edu.my,Tan Chee Ming,tan.cheeming@sekolah.edu.my
40,840108-33-3146,Mark,Williams,mwilliams@gmail.com,40,"No. 105, Lorong Desa Aman 2, Taman Desa Aman",9090,Kulim HiTech,Kulim,SMK Taman Mutiara,9700,Karangan,"Taman Mutiara, 09000 Kulim, Kedah",information@smk_taman_mutiara.edu.my,Fadzli Bin Ramli,fadzli.ramli@sekolah.edu.my
41,840829-99-3148,Adrian,Tanner,atanner@gmail.com,41,"No. 2, Lorong Kulim Ria 16, Taman Kulim Ria",9000,Kulim,Kulim,SMK Padang Serai,9400,Padang Serai,"Jalan Padang Serai, 09080 Padang Serai, Kedah",information@smk_padang_serai.edu.my,Tan Chee Ming,tan.cheeming@sekolah.edu.my
42,860818-88-4135,Brian,Anderson,banderson@gmail.com,42,"No. 59, Lorong Melati Indah 20, Taman Melati Indah",9050,Sungai Kob,Kulim,SMK Taman Mutiara,9700,Karangan,"Taman Mutiara, 09000 Kulim, Kedah",information@smk_taman_mutiara.edu.my,Fadzli Bin Ramli,fadzli.ramli@sekolah.edu.my
43,861008-44-3152,David,Nichols,dnichols@gmail.com,43,"No. 130, Lorong Rambai 13, Taman Rambai",9090,Kulim HiTech,Kulim,SMK Junjung,9000,Kulim,"Kampung Junjung, 09000 Kulim, Kedah",information@smk_junjung.edu.my,Rahim Bin Saad,rahim.saad@sekolah.edu.my
44,821118-88-3154,Darren,Aguilar,daguilar@gmail.com,44,"No. 123, Lorong Mutiara 18, Taman Mutiara",9080,Padang Serai,Kulim,SMK Jalan Paya Besar,9600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my,Nor Azman Bin Idris,nor.azman@sekolah.edu.my
45,950301-99-3156,Michelle,Stokes,mstokes@gmail.com,45,"No. 23, Lorong Kulim Utama 9, Taman Kulim Utama",9090,Kulim HiTech,Kulim,SMK Taman Mutiara,9700,Karangan,"Taman Mutiara, 09000 Kulim, Kedah",information@smk_taman_mutiara.edu.my,Fadzli Bin Ramli,fadzli.ramli@sekolah.edu.my
46,810914-44-3158,Richard,Rodriguez,rrodriguez@gmail.com,46,"No. 140, Lorong Kulim Jaya 11, Taman Kulim Jaya",9090,Kulim HiTech,Kulim,SMK Lunas,9600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my,Syed Amir Bin Taufik,syed.amir@sekolah.edu.my
47,850630-88-3160,Christina,Wiggins,cwiggins@gmail.com,47,"No. 147, Lorong Kulim Harmoni 8, Taman Kulim Harmoni",9080,Padang Serai,Kulim,SMK Sultan Badlishah,9000,Kulim,"Jalan Pondok Labu, 09000 Kulim, Kedah",information@smk_sultan_badlishah.edu.my,Salmah Binti Zainuddin,salmah.zainuddin@sekolah.edu.my
48,950505-66-4143,Patricia,Flores,pflores@gmail.com,48,"No. 133, Lorong Kulim Sentosa 12, Taman Kulim Sentosa",9010,Lunas,Kulim,SMK Padang Serai,9400,Padang Serai,"Jalan Padang Serai, 09080 Padang Serai, Kedah",information@smk_padang_serai.edu.my,Tan Chee Ming,tan.cheeming@sekolah.edu.my
49,841216-99-3166,Courtney,Davis,cdavis1@gmail.com,49,"No. 123, Lorong Kulim Bestari 6, Taman Kulim Bestari",9000,Kulim,Kulim,SMK Sungai Karangan,9410,Padang Serai,"Kampung Sungai Karangan, 09050 Sungai Karangan, Kedah",information@smk_sungai_karangan.edu.my,Mohd Faizal Bin Abdullah,mohd.faizal@sekolah.edu.my
50,911104-99-4151,Victoria,Rivera,vrivera@gmail.com,50,"No. 59, Lorong Kulim Ceria 16, Taman Kulim Ceria",9000,Kulim,Kulim,SMK Taman Jelutong,9000,Kulim,"Taman Jelutong, 09000 Kulim, Kedah",information@smk_taman_jelutong.edu.my,Muthusamy A/L Rajan,muthusamy.rajan@sekolah.edu.my
51,880622-33-3168,Latasha,Johnson,ljohnson@gmail.com,51,"No. 16, Lorong Teratai 18, Taman Teratai",9000,Kulim,Kulim,SMK Sungai Kob,9700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my,Siti Nor Aisyah Binti Rahman,siti.aisyah@sekolah.edu.my
52,950807-33-4153,Justin,Solomon,jsolomon@gmail.com,52,"No. 128, Lorong Kulim Bahagia 7, Taman Kulim Bahagia",9050,Sungai Kob,Kulim,SMK Jalan Paya Besar,9600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my,Nor Azman Bin Idris,nor.azman@sekolah.edu.my
53,830416-77-4155,Benjamin,Thompson,bthompson@gmail.com,53,"No. 112, Lorong Mawar 20, Taman Mawar",9090,Kulim HiTech,Kulim,SMK Sungai Karangan,9410,Padang Serai,"Kampung Sungai Karangan, 09050 Sungai Karangan, Kedah",information@smk_sungai_karangan.edu.my,Mohd Faizal Bin Abdullah,mohd.faizal@sekolah.edu.my
54,850110-44-3176,Erika,Rodriguez,erodriguez@gmail.com,54,"No. 143, Lorong Dahlia 17, Taman Dahlia",9000,Kulim,Kulim,SMK Taman Kenari,9000,Kulim,"Taman Kenari, 09000 Kulim, Kedah",information@smk_taman_kenari.edu.my,Laila Binti Yusuf,laila.yusuf@sekolah.edu.my
55,940610-66-4163,Alexandria,Brooks,abrooks@gmail.com,55,"No. 1, Lorong Sri Kulim 3, Taman Sri Kulim",9080,Padang Serai,Kulim,SMK Lunas,9600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my,Syed Amir Bin Taufik,syed.amir@sekolah.edu.my
56,900406-44-4165,Joshua,Smith,jsmith@gmail.com,56,"No. 60, Lorong Bersatu 17, Taman Bersatu",9010,Lunas,Kulim,SMK Keladi,9000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my,Roslan Bin Osman,roslan.osman@sekolah.edu.my
57,961203-44-4169,Matthew,Nguyen,mnguyen@gmail.com,57,"No. 107, Lorong Kulim Bahagia 19, Taman Kulim Bahagia",9080,Padang Serai,Kulim,SMK Keladi,9000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my,Roslan Bin Osman,roslan.osman@sekolah.edu.my
58,940814-33-3186,Michelle,Martin,mmartin@gmail.com,58,"No. 76, Lorong Kulim Makmur 11, Taman Kulim Makmur",9080,Padang Serai,Kulim,SMK Sungai Kob,9700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my,Siti Nor Aisyah Binti Rahman,siti.aisyah@sekolah.edu.my
59,890206-88-4175,Shawn,Avila,savila@gmail.com,59,"No. 101, Lorong Anggerik 7, Taman Anggerik",9010,Lunas,Kulim,SMK Taman Jelutong,9000,Kulim,"Taman Jelutong, 09000 Kulim, Kedah",information@smk_taman_jelutong.edu.my,Muthusamy A/L Rajan,muthusamy.rajan@sekolah.edu.my
60,981020-99-3192,Aaron,Collins,acollins@gmail.com,60,"No. 87, Lorong Kulim Ria 7, Taman Kulim Ria",9080,Padang Serai,Kulim,SMK Sungai Kob,9700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my,Siti Nor Aisyah Binti Rahman,siti.aisyah@sekolah.edu.my
61,880517-44-4177,Janice,Hughes,jhughes@gmail.com,61,"No. 125, Lorong Melati 8, Taman Melati",9080,Padang Serai,Kulim,SMK Padang Serai,9400,Padang Serai,"Jalan Padang Serai, 09080 Padang Serai, Kedah",information@smk_padang_serai.edu.my,Tan Chee Ming,tan.cheeming@sekolah.edu.my
62,810909-44-4179,Teresa,Lewis,tlewis@gmail.com,62,"No. 113, Lorong Desa Aman 5, Taman Desa Aman",9000,Kulim,Kulim,SMK St. Anne's Convent,9000,Kulim,"Jalan Tunku Asaad, 09000 Kulim, Kedah",information@smk_st_annes_convent.edu.my,,
63,960107-33-4185,Andrew,Brown,abrown@gmail.com,63,"No. 42, Lorong Kekwa 19, Taman Kekwa",9050,Sungai Kob,Kulim,SMK Jalan Paya Besar,9600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my,Nor Azman Bin Idris,nor.azman@sekolah.edu.my
64,980627-44-3196,Christopher,Thomas,cthomas@gmail.com,64,"No. 149, Lorong Kulim Aman 17, Taman Kulim Aman",9010,Lunas,Kulim,SMK Keladi,9000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my,Roslan Bin Osman,roslan.osman@sekolah.edu.my
65,991017-88-4187,Walter,White,wwhite@gmail.com,65,"No. 98, Lorong Anggerik 1, Taman Anggerik",9010,Lunas,Kulim,SMK Mahang,9700,Karangan,"Kampung Mahang, 09080 Mahang, Kedah",information@smk_mahang.edu.my,Kavitha A/P Subramaniam,kavitha.subra@sekolah.edu.my
66,830101-77-3202,Robert,Lowery,rlowery@gmail.com,66,"No. 84, Lorong Kulim Heights 8, Taman Kulim Heights",9000,Kulim,Kulim,SMK Taman Selasih,9000,Kulim,"Taman Selasih, 09000 Kulim, Kedah",information@smk_taman_selasih.edu.my,Norlina Binti Halim,norlina.halim@sekolah.edu.my
67,851026-33-3204,Robin,Johnson,rjohnson@gmail.com,67,"No. 67, Lorong Kulim Damai 17, Taman Kulim Damai",9000,Kulim,Kulim,SMK Keladi,9000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my,Roslan Bin Osman,roslan.osman@sekolah.edu.my
68,950701-88-4193,Christine,Sanders,csanders@gmail.com,68,"No. 52, Lorong Mawar 11, Taman Mawar",9000,Kulim,Kulim,SMK Sungai Kob,9700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my,Siti Nor Aisyah Binti Rahman,siti.aisyah@sekolah.edu.my
69,950406-33-4197,Christopher,Pierce,cpierce@gmail.com,69,"No. 133, Lorong Kulim Ria 8, Taman Kulim Ria",9010,Lunas,Kulim,SMK Labu Besar,9010,Kulim,"Kampung Labu Besar, 09000 Kulim, Kedah",information@smk_labu_besar.edu.my,Faridah Binti Salleh,faridah.salleh@sekolah.edu.my
70,820929-77-4199,Amber,Robertson,arobertson@gmail.com,70,"No. 10, Lorong Selasih 11, Taman Selasih",9080,Padang Serai,Kulim,SMK Sungai Kob,9700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my,Siti Nor Aisyah Binti Rahman,siti.aisyah@sekolah.edu.my
71,811018-99-3208,Abigail,Goodman,agoodman@gmail.com,71,"No. 128, Lorong Kulim Makmur 1, Taman Kulim Makmur",9000,Kulim,Kulim,SMK Taman Selasih,9000,Kulim,"Taman Selasih, 09000 Kulim, Kedah",information@smk_taman_selasih.edu.my,Norlina Binti Halim,norlina.halim@sekolah.edu.my
72,880121-66-3212,Ronald,Skinner,rskinner@gmail.com,72,"No. 11, Lorong Kulim Damai 3, Taman Kulim Damai",9000,Kulim,Kulim,SMK Labu Besar,9010,Kulim,"Kampung Labu Besar, 09000 Kulim, Kedah",information@smk_labu_besar.edu.my,Faridah Binti Salleh,faridah.salleh@sekolah.edu.my
73,890731-33-3214,Sarah,Alexander,salexander@gmail.com,73,"No. 107, Lorong Putra 5, Taman Putra",9010,Lunas,Kulim,SMK Keladi,9000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my,Roslan Bin Osman,roslan.osman@sekolah.edu.my
74,851014-33-3216,Jason,Morris,jmorris@gmail.com,74,"No. 103, Lorong Kulim Jaya 6, Taman Kulim Jaya",9050,Sungai Kob,Kulim,SMK St. Anne's Convent,9000,Kulim,"Jalan Tunku Asaad, 09000 Kulim, Kedah",information@smk_st_annes_convent.edu.my,,
75,990307-88-3218,Kristie,Mathis,kmathis@gmail.com,75,"No. 88, Lorong Kulim Bestari 13, Taman Kulim Bestari",9050,Sungai Kob,Kulim,SMK Sungai Karangan,9410,Padang Serai,"Kampung Sungai Karangan, 09050 Sungai Karangan, Kedah",information@smk_sungai_karangan.edu.my,Mohd Faizal Bin Abdullah,mohd.faizal@sekolah.edu.my
76,871001-66-3226,Mark,Jones,mjones2@gmail.com,76,"No. 100, Lorong Cengal 1, Taman Cengal",9080,Padang Serai,Kulim,SMK Keladi,9000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my,Roslan Bin Osman,roslan.osman@sekolah.edu.my
77,830513-77-3230,Harold,Bradford,hbradford@gmail.com,77,"No. 32, Lorong Mahsuri 20, Taman Mahsuri",9050,Sungai Kob,Kulim,SMK Taman Kenari,9000,Kulim,"Taman Kenari, 09000 Kulim, Kedah",information@smk_taman_kenari.edu.my,Laila Binti Yusuf,laila.yusuf@sekolah.edu.my
78,840620-77-3238,Brianna,Carter,bcarter@gmail.com,78,"No. 90, Lorong Kemuning 4, Taman Kemuning",9050,Sungai Kob,Kulim,SMK Jalan Paya Besar,9600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my,Nor Azman Bin Idris,nor.azman@sekolah.edu.my
79,931226-44-3250,Amber,Rush,arush@gmail.com,79,"No. 44, Lorong Rambai 16, Taman Rambai",9090,Kulim HiTech,Kulim,SMK Keladi,9000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my,Roslan Bin Osman,roslan.osman@sekolah.edu.my
80,991205-44-3254,Bobby,Miller,bmiller@gmail.com,80,"No. 60, Lorong Jati 19, Taman Jati",9010,Lunas,Kulim,SMK Sungai Kob,9700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my,Siti Nor Aisyah Binti Rahman,siti.aisyah@sekolah.edu.my
81,910125-88-4215,Kathleen,Pope,kpope@gmail.com,81,"No. 36, Lorong Bersatu 16, Taman Bersatu",9090,Kulim HiTech,Kulim,SMK Sungai Kob,9700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my,Siti Nor Aisyah Binti Rahman,siti.aisyah@sekolah.edu.my
